x;y;type
-44.69713079249209;-15.059267320522075;tree
-13.86892952260866;-55.838071442842015;tree
-24.13276540813667;-39.01755936877698;tree
-53.674465167789606;-44.54487054415617;tree
-45.93227968505696;-54.90922935766206;tree
-26.210822853919346;-31.460076342780006;tree
-17.914729418868745;-14.470193351206603;tree
-53.386489519664124;-40.286869805881395;tree
-23.74900705015792;-37.7257671878652;tree
-33.60469110874985;-52.74284943401311;tree
-22.674896993067314;-22.80400465129474;tree
-15.132909872945802;-22.277270962683346;tree
-54.09397293931461;-14.727894745556235;tree
-53.24513143646233;-46.14948322506197;tree
-19.955348569170127;-19.555333554181786;tree
-48.750524030940085;-18.299310014473214;tree
-12.745190002404193;-20.926484049839587;tree
-43.64899497694346;-44.47690047408661;tree
-18.866726847580573;-48.8705748154535;tree
-42.42641483907183;-51.89120879206815;tree
-42.34700400498192;-28.028309440909393;tree
-30.40146761573379;-36.042397725222486;tree
-17.64092272651891;-45.166327541337694;tree
-48.32219611044593;-50.41597710371183;tree
-28.853851866878447;-11.404356878727917;tree
-38.8216505504122;-27.853805308952943;tree
-55.84871987406278;-11.455064314298369;tree
-16.603658562912052;-25.537103742070578;tree
-40.470566985397454;-12.321671282814528;tree
-26.299536304608694;-29.89530406835678;tree
-38.701021533507955;-51.818181904281296;tree
-30.493962679617695;-10.61251399559928;tree
-36.03301343693769;-55.69975517044221;tree
-42.14553826545466;-30.712719846635096;tree
-25.434225437832062;-26.625989316750424;tree
-25.97126971790546;-33.72819120739188;tree
-10.561553510243783;-32.787741858679794;tree
-15.761223653348658;-37.517114376871504;tree
-48.04214107275771;-45.09546424523953;tree
-40.25861721934513;-33.863649291402226;tree
-34.97770955325162;-15.544474948566496;tree
-19.536475131207084;-22.65714805579809;tree
-41.36109960338429;-11.838470778864924;tree
-53.130804201473154;-32.21916412425766;tree
-41.932028961749666;-40.68060960004273;tree
-36.31874839858865;-51.9669799778251;tree
-41.09530576150436;-22.175774947608097;tree
-45.25841921203562;-50.284098546707824;tree
-13.687771365094939;-14.95441668138971;tree
-22.49060385741459;-51.201111731409256;tree
-17.52511535069386;-10.38309035034932;tree
-21.526154513965253;-18.12139143146109;tree
-9.679826328022152;-28.95057393910201;tree
-20.65469713572258;-48.434905829225464;tree
-35.633119627046156;-13.035094161203396;tree
-12.207237235070984;-28.647992324805927;tree
-34.21188623392567;-11.598365794063476;tree
-16.844495318069775;-51.85408747087949;tree
-55.83187019211588;-44.246745583242955;tree
-34.21351123658317;-22.315613213698697;tree
-17.049540395266582;-26.35479848286832;tree
-13.918757159876357;-25.647074742400964;tree
-25.889789979831722;-16.665248285577256;tree
-40.122917502181394;-53.630690389431564;tree
-48.507041294446495;-37.42800849207876;tree
-50.512512849931106;-40.32595649301466;tree
-44.003795271228356;-34.46792094021694;tree
-32.55102588444213;-35.93774276704827;tree
-54.242301154916824;-47.06434725644208;tree
-32.730271546199376;-27.69195949722117;tree
-17.00609811810098;-32.451441154163184;tree
-19.75169933674575;-14.08292898861685;tree
-36.24371627819541;-26.362281428218466;tree
-20.71952974301815;-36.960624043002504;tree
-21.670299487686933;-24.852146094391127;tree
-25.08987563036199;-13.517800386072715;tree
-31.742355940406192;-30.361403942235068;tree
-29.733668911009495;-33.32099818800533;tree
-47.24431897486238;-46.20646953349332;tree
-45.412408413155994;-28.88992072540597;tree
-53.70738891465002;-33.24686954894443;tree
-27.440434104955724;-25.155110373459117;tree
-49.60515152928321;-25.792808700939855;tree
-12.650315808040823;-49.00621876107893;tree
-50.801668607160046;-42.098107093800714;tree
-22.919228128793073;-39.88550618484144;tree
-22.45712406215784;-22.129192577196207;tree
-13.03075435897999;-37.00643048073991;tree
-51.806485930861875;-52.72325789096199;tree
-55.83993390587032;-45.765577418063046;tree
-11.409955622130198;-45.22553147291535;tree
-17.020380591332454;-25.487209637710613;tree
-10.881196693831683;-11.932449779046657;tree
-48.95636909066472;-39.22035378541209;tree
-33.41748658680987;-47.31628510864466;tree
-48.6759350810981;-21.312612183178125;tree
-22.343433025136747;-20.395682949256432;tree
-41.091084447178105;-43.437123363521394;tree
-36.70871007457778;-37.66863539999976;tree
-11.055893790101123;-22.16869834478615;tree
-43.782227640697826;-17.962230015112212;tree
-30.15113169419659;-28.661028631102447;tree
-31.85385942353694;-47.9094174408682;tree
-36.69972733038997;-35.00386532171039;tree
-45.37309496811702;-16.041885235338988;tree
-10.109992150926054;-42.0158899172382;tree
-52.56328130942401;-19.14983275082755;tree
-41.31534644214109;-46.9702172059199;tree
-30.348265518646762;-54.13510165443355;tree
-15.465847847620061;-26.762583512099457;tree
-31.929481681531144;-34.066591251516;tree
-47.9059762408869;-17.375057545130794;tree
-54.39040250216439;-48.784746379721504;tree
-23.646263612330905;-15.105710906413833;tree
-27.21491862700919;-11.503376638763527;tree
-24.007708787095645;-32.227113455017985;tree
-28.161074372940465;-14.417632994769043;tree
-52.384835774178576;-53.18230037686431;tree
-21.427357848957122;-11.666818614841503;tree
-26.012719668193437;-43.65095306472928;tree
-25.52508630077034;-55.30654676461215;tree
-32.038697036872335;-10.89953407881778;tree
-38.64079660082342;-21.08598717891988;tree
-27.34928584182751;-38.23400601670076;tree
-12.164989328633872;-34.38414925298572;tree
-41.78252357534585;-34.099665190139106;tree
-36.48699137002002;-17.126715688668376;tree
-15.474501075673473;-54.339953695872325;tree
-40.810130698549;-31.905333323422884;tree
-26.444140555571494;-39.224653968310335;tree
-28.177790955683548;-48.03206050634525;tree
-13.373673057907112;-49.23609425967469;tree
-29.386746867497735;-34.5129573955527;tree
-26.17809139531067;-49.43438157885366;tree
-20.35674351121908;-22.898094453405974;tree
-49.39802712891728;-19.911657133507227;tree
-54.056539052617545;-36.557357101104984;tree
-54.12994736946106;-54.45672060324054;tree
-34.145330490313796;-55.33490996719336;tree
-26.73278326427855;-18.34654863944138;tree
-21.105728101934567;-43.91260232873118;tree
-15.345229725285279;-14.079634484397438;tree
-18.272182916518567;-54.29869906809538;tree
-34.638230993933846;-19.508268603281778;tree
-17.901134182904244;-14.491172722889125;tree
-12.870614544078784;-14.157648849915844;tree
-37.61016248070969;-29.58549650251825;tree
-11.300926683093373;-39.881945914158166;animal
-47.34049737648492;-45.37336329614163;animal
-39.87507828912955;-10.516002252091006;animal
-51.73275468532041;-37.1851111488009;animal
-50.94901031582854;-44.16445772691838;animal
-26.365797882099525;-16.113345630146277;animal
-45.78917604063645;-40.307273926685326;animal
-27.580257915748668;-27.247209477399927;animal
-26.510444174055696;-47.75052981464149;animal
-14.518957457794798;-31.208584259565196;animal
-17.552150071734978;-14.255279621038625;animal
-29.213039716187442;-18.57215363625521;animal
-11.4473062885249;-18.671174440102448;animal
-34.571499360018045;-37.54251198493978;animal
-23.728066458524196;-46.43668908750776;animal
-47.60524191974757;-53.582315425189286;animal
-16.734291166452223;-49.61857574628483;animal
-28.518467037843816;-24.337186988121655;animal
-27.564927199074738;-52.62569653259105;animal
-15.866313883418549;-31.790083376768187;animal
-41.50920068273787;-43.0595267843465;animal
-17.045286470427584;-41.90866363252277;animal
-55.52246074894679;-47.847284164611864;animal
-31.814708520280202;-48.198108198355925;animal
-50.968116203936376;-20.322931601986966;animal
-41.909925458689756;-29.479260431515293;animal
-11.928867701313393;-43.65736624243724;animal
-55.37525766939706;-17.789035034250645;animal
-40.093840938873996;-19.764893232360834;animal
-54.57986193676178;-53.03842312188997;animal
-26.93148339723685;-44.95587963819217;animal
-27.175668676592306;-54.72474022845938;animal
-54.542645404809704;-27.005664393155676;animal
-38.722106976167225;-29.244153336607635;animal
-40.873933829191316;-20.202600823304465;animal
-46.41570072320704;-17.17378188120454;animal
-52.60428356576702;-31.847913498045514;animal
-55.49742647816817;-48.730200076778424;animal
-52.36996793132233;-51.43198862221728;animal
-41.54287011212736;-18.38335954769714;animal
-11.395564204693251;-31.244677496630143;animal
-33.5398134672958;-21.466951935291604;animal
-30.150213671109814;-15.05798232733681;animal
-22.14175592047505;-11.211871273803013;animal
-41.37744895557765;-16.607802443391407;animal
-52.292777524832545;-28.194908976955126;animal
-46.475492158889146;-12.925630653693908;animal
-21.294186893221195;-55.9403868982292;animal
-54.01295105088312;-44.43578160430182;animal
-35.72706519710532;-24.225143942967645;animal
-43.486578368484594;-14.485841951143513;animal
-43.66851656038995;-33.38833844263583;animal
-48.352725777841826;-45.06432501290594;animal
-26.35387781656427;-27.70142322268885;animal
-13.624454563891383;-51.29924794945461;animal
-14.29062389771714;-14.035570766369148;animal
-10.021455845582686;-29.105870632198798;animal
-27.489710680089274;-30.90623879927334;animal
-33.2487338497354;-30.619059523164278;animal
-42.9214345952758;-36.52796670849264;animal
-17.63961507673355;-48.74462587795111;animal
-42.45500274075952;-55.79602239739224;animal
-46.42689822979867;-54.605788695879355;animal
-28.28120259148014;-35.578442158437014;animal
-49.16559631554269;-15.613074756656978;animal
-14.204625912863882;-33.48873303989112;animal
-44.769442886346795;-50.918504559593984;animal
-33.97506562674948;-39.67091312707865;animal
-54.47962682009458;-23.29777645553655;animal
-38.05382595547964;-33.49118168026571;animal
-12.374570261527424;-54.83223929460911;animal
-38.10580975643335;-52.28512431069665;animal
-43.51171888769625;-16.262451711522907;animal
-39.19963644153212;-21.895530039077208;animal
-51.57971033577252;-55.62567088197963;animal
-52.70887972290063;-32.42881255456252;animal
-34.74824359641191;-47.63905835604628;animal
-11.669348923359301;-37.30510982662982;animal
-51.24838661546964;-19.482555158577668;animal
-33.3269652603264;-33.66344839938958;animal
-29.165629075911095;-15.691469137892511;animal
-40.260135573039285;-22.77691317748736;animal
-29.18592149813671;-30.97899650572951;animal
-26.220054014173993;-49.612695085227905;animal
-46.27782620538787;-30.192374891865512;animal
-12.984032630129832;-22.541047494042985;animal
-55.795415288646026;-9.866747947188657;animal
-11.777688255752594;-35.69455619808212;animal
-27.198043475484944;-35.3943809820665;animal
-53.313986697436654;-23.79299560393109;animal
-32.07070258985211;-24.54032747675422;animal
-53.99838205479116;-16.95585870587538;animal
-51.84828750376933;-21.798070270858787;animal
-33.565819918834634;-19.75098124316365;animal
-46.783352366808984;-36.45874016263747;animal
-10.490680225496654;-42.98852851001651;animal
-31.819795341326092;-13.836579416162266;animal
-19.711942273986175;-26.657819349562736;animal
-47.59076175845117;-50.878198860148125;animal
-19.670860213598168;-54.547685357249804;animal
-35.41937756008513;-22.494917484952346;human
-21.717671080256054;-13.729580585793649;human
-23.011298587896718;-49.506724400143455;human
-10.720305262328083;-23.0322523518539;human
-51.616189661534754;-38.334173504328504;human
-17.974726929325435;-37.77877957410249;human
-50.20847128015633;-16.603751843959145;human
-15.31699692841196;-51.67348478812317;human
-42.09217729059055;-10.923645669360859;human
-19.342667204215978;-28.685023581668172;human
-12.26282915941087;-45.06925315811438;human
-40.523172738943174;-10.274069941946273;human
-43.83187928165173;-12.613387277790977;human
-29.63628146824818;-17.45686439841127;human
-23.34557523540761;-20.266509447763596;human
-21.205598547052738;-40.23732491597633;human
-22.675756760422928;-15.937037147625794;human
-16.999913929431067;-47.93021254289705;human
-11.18362487493745;-27.75041065566;human
-14.561301785959117;-39.36134921030529;human
